pmid	disorder	structure
11169630	alcohol intoxication	ca1
11169630	alcohol withdrawal	dentate gyrus
11170809	schizophrenia	dorsolateral
11173167	cocaine dependence	medial
11173794	dementia	striatum
11173884	dementia	hippocampal region
11177115	schizophrenia	dorsal
11191380	bulimia nervosa	core
11196000	schizophrenia	core
11198502	obsessive-compulsive disorder	cerebellum
11205348	schizophrenia	core
11207425	delirium	striatum
11208668	schizophrenia	dorsolateral
11209994	dementia	core
11213307	narcolepsy	hypothalamus
11224095	schizophrenia	nucleus accumbens
11231035	dementia	cerebral cortex
11231835	schizophrenia	dorsolateral
11231835	schizophrenia	dorsolateral
11231835	schizophrenia	dorsolateral
11231835	schizophrenia	dorsolateral
11235858	schizophrenia	lateral ventricle
11235858	schizophrenia	medial
11239903	bulimia nervosa	hypothalamus
11239909	schizophrenia	core
11244213	dementia	medial
11244680	dementia	corpus callosum
11244680	dementia	corpus callosum
11246148	schizophrenia	ventral
11255454	dementia	ca3
11256057	agoraphobia	core
11260888	pica	brain stem
11264329	cocaine withdrawal	ventral
11266405	schizophrenia	core
11266405	schizophrenia	core
11274306	dementia	core
11278159	schizophrenia	cerebellum
11282698	schizophrenia	thalamus
11282698	schizophrenia	dorsomedial
11282705	schizophrenia	globus pallidus
11282705	schizophrenia	globus pallidus
11282705	schizophrenia	thalamus
11287052	schizophrenia	dorsal
11294477	schizophrenia	dorsal
1129475	pica	caudal
11295369	schizophrenia	thalamus
11295371	schizophrenia	thalamus
11295383	schizophrenia	core
11296301	schizophrenia	dorsolateral
11296301	schizophrenia	dorsolateral
11297718	panic disorder	intermediate
11298250	depressive disorders	core
11304095	nicotine dependence	core
11307629	dementia	dentate gyrus
11311294	dementia	substantia nigra
11311531	mood disorders	dentate gyrus
11311783	schizophrenia	dorsolateral
11311783	schizophrenia	dorsolateral
11311783	schizophrenia	dorsolateral
11316831	dementia	core
11316831	dementia	core
11320447	schizophrenia	cerebral cortex
11322715	narcolepsy	nose
11326300	schizophrenia	core
11329995	schizophrenia	intermediate
11331423	nicotine withdrawal	medial
11333430	delirium	core
11333432	dementia	medial
11333838	anorexia nervosa	trunk
11343526	schizophrenia	thalamus
11343526	schizophrenia	layer 3
11343526	schizophrenia	layer 3
11343526	schizophrenia	layer 3
11343679	schizophrenia	hippocampal formation
11343868	schizophrenia	medial
11343870	schizophrenia	corpus callosum
11343870	schizophrenia	corpus callosum
11352128	schizophrenia	dorsolateral
11353447	schizophrenia	intermediate
11353595	schizophrenia	intermediate
11376465	dementia	core
11377922	schizophrenia	dorsolateral
11378301	attention deficit hyperactivity disorder	corpus callosum
11378310	schizophrenia	corpus callosum
11386983	schizophrenia	layer 6
11387790	schizophrenia	thalamus
11391045	alcohol intoxication	mouth
11392274	schizophrenia	retina
11395478	schizophrenia	ca3
11411182	mood disorders	nose
11411814	personality disorder	core
11414338	alcohol dependence	core
11423103	dementia	cerebral cortex
11430542	delirium	core
11431233	schizophrenia	dorsolateral
11431233	schizophrenia	dorsolateral
11431233	schizophrenia	dorsolateral
11431233	schizophrenia	dorsolateral
11431233	schizophrenia	dorsolateral
11431237	schizophrenia	cerebrum
11431241	bulimia nervosa	medial
11434981	mood disorders	intermediate
11442302	dementia	medial
11444099	dementia	cerebellum
11445270	dementia	optic nerve
11446307	dementia	core
11450387	attention deficit hyperactivity disorder	core
11455183	dementia	ca1
11458138	delirium	intermediate
11458138	delirium	intermediate
11460954	dementia	core
11465627	schizophrenia	core
11467056	dementia	cerebral cortex
11468306	dementia	intermediate
11472684	dementia	nose
11481142	rapid cycling	cerebellum
11481168	schizophrenia	dorsal
11482749	schizophrenia	intermediate
11483314	schizophrenia	cerebellar cortex
11483314	schizophrenia	cerebellum
11487600	dementia	core
11488957	schizophrenia	ventral
11490548	dementia	cerebral cortex
11493935	dementia	core
11501738	schizophrenia	thalamus
11506528	schizophrenia	subiculum
11509214	schizophrenia	core
11512050	nicotine withdrawal	nucleus accumbens
11515751	schizophrenia	hypothalamus
11518548	dementia	lower limb
11519154	delirium	mouth
11522806	dementia	core
11522806	dementia	core
11526794	schizophrenia	core
11526806	dementia	core
11531661	schizophrenia	corpus callosum
11532563	pica	medial
11532563	pica	medial
11532718	schizophrenia	thalamus
11532723	schizophrenia	thalamus
11532723	schizophrenia	thalamus
11532724	schizophrenia	dorsolateral
11532725	schizophrenia	dorsal
11532725	schizophrenia	dorsal
11533851	schizophrenia	striatum
11548630	dementia	medial
11549234	schizophrenia	medial
11549931	schizophrenia	core
11557889	pica	core
11559479	schizophrenia	core
11560213	dementia	core
11560421	factitious disorders	upper limb
11560764	narcolepsy	hypothalamus
11568418	dementia	brain stem
11571761	dementia	medial
11571770	depressive disorders	core
11575601	obsessive-compulsive disorder	thalamus
11575601	obsessive-compulsive disorder	medial
11575601	obsessive-compulsive disorder	medial
11575601	obsessive-compulsive disorder	thalamus
11576030	depressive disorders	nose
11576758	schizophrenia	dorsolateral
11577527	schizophrenia	striatum
11583056	mood disorders	vagus nerve
11584886	dementia	intermediate
11584981	delirium	mouth
11588596	schizophrenia	thalamus
11588596	schizophrenia	thalamus
11588638	dementia	core
11593304	dementia	core
11595389	schizophrenia	core
11595397	schizophrenia	striatum
11595397	schizophrenia	striatum
11598306	dementia	optic nerve
11603811	dementia	ca2
11603813	mood disorders	dorsal
1161139	pica	trunk
11640942	obsessive-compulsive disorder	medial
11668095	attention deficit hyperactivity disorder	core
11673590	dementia	core
11677064	schizophrenia	medial
11677064	schizophrenia	medial
11677886	pica	medial
11678346	dementia	lateral ventricle
11680637	dementia	brain stem
11680637	dementia	brain stem
11681194	dementia	medial
11691688	schizophrenia	intermediate
11696024	dementia	core
11696024	dementia	core
11696809	enuresis	brain stem
11697175	nicotine dependence	core
11698063	opioid withdrawal	supraoptic nucleus
11699341	schizophrenia	hippocampal formation
11699560	dementia	striatum
11699934	dementia	ca2
11701754	dementia	midbrain
11702510	schizophrenia	core
11705017	obsessive-compulsive disorder	core
11705017	impulse control disorders	core
11705634	dementia	hippocampal formation
11705714	schizophrenia	core
11708667	schizophrenia	core
11708667	schizophrenia	core
11711867	schizophrenia	ventral
11711867	schizophrenia	stratum oriens
11715524	opioid withdrawal	ca2
11715568	pica	posterior part
11721096	dementia	mammillary body
11726801	schizophrenia	dorsal
11728841	schizophrenia	pons
11732702	schizophrenia	ca2
11732704	schizophrenia	hippocampal formation
11732709	schizophrenia	ca1
11732711	schizophrenia	hippocampal formation
11734362	schizophrenia	cerebral cortex
11735776	dementia	core
11735840	schizophrenia	thalamus
11735840	schizophrenia	globus pallidus
11739996	delirium	caudoputamen
11743940	schizophrenia	core
11748777	dementia	core
11751641	schizophrenia	corpus callosum
11751641	schizophrenia	medial
11755264	schizophrenia	cerebellum
11755264	schizophrenia	cerebellum
11756014	mood disorders	thalamus
11756014	mood disorders	thalamus
11756014	mood disorders	thalamus
11756057	anorexia nervosa	trunk
11761720	dementia	cerebral cortex
11768782	narcolepsy	core
11769695	dementia	core
11772691	schizophrenia	dorsal
11772691	schizophrenia	dorsal
11772693	dementia	medial
11772693	dementia	medial
11772850	schizophrenia	thalamus
11779278	schizophrenia	cerebral cortex
11782993	dementia	presubiculum
11784835	schizophrenia	medial
11796186	narcolepsy	hypothalamus
11798966	pica	fourth ventricle
11799413	pica	brain stem
11802229	dementia	core
11803305	dementia	core
11807415	schizophrenia	ca3
11807415	schizophrenia	ca3
11810986	narcolepsy	third ventricle
11813270	dementia	core
11813275	dementia	core
11817646	pica	crossed
11817646	pica	crossed
11826152	dementia	cerebral cortex
11827872	dementia	substantia innominata
11827872	dementia	substantia innominata
11827872	dementia	substantia innominata
11827872	dementia	substantia innominata
11835374	dementia	medial
11840308	schizophrenia	dorsolateral
11840308	schizophrenia	dorsolateral
11840506	schizophrenia	core
11840668	dementia	lower limb
11841721	dementia	cerebral aqueduct
11843695	dementia	corpus callosum
11843695	dementia	corpus callosum
11847436	dementia	cerebral cortex
11847487	panic attack	core
11850457	schizophrenia	midbrain
11866176	schizophrenia	dorsolateral
11867725	schizophrenia	dorsolateral
11869785	hypochondriasis	core
11871	dementia	cerebral cortex
11873594	dementia	medial
11883733	mood disorders	dorsal
11883733	mood disorders	dorsal
11883733	mood disorders	dorsal
11884354	schizophrenia	layer 5
11885785	alcohol withdrawal	striatum
11885785	alcohol withdrawal	striatum
11889767	dementia	core
11889831	dementia	cerebral cortex
11892971	dementia	core
11892977	dementia	core
11897247	dementia	cerebrum
11900742	dementia	ventral
11904132	schizophrenia	layer 2
11910260	panic disorder	mouth
1191041	pica	cerebellum
11912342	pica	intermediate
11913937	alcohol dependence	core
11914814	pica	medulla
11919251	adjustment disorder	core
11920985	bulimia nervosa	core
11922886	schizophrenia	core
11923449	schizophrenia	dorsolateral
11923451	narcolepsy	laterodorsal tegmental nucleus
11929576	alcohol dependence	core
11935265	schizophrenia	subiculum
11939895	dementia	core
11940310	dementia	midbrain
11949896	autism spectrum disorder	medial
11955964	schizophrenia	cerebellum
11955967	schizophrenia	third ventricle
11955967	schizophrenia	third ventricle
11955975	schizophrenia	nose
11957427	schizophrenia	core
11958785	obsessive-compulsive disorder	medial
11959397	dementia	cerebrum
11959401	dementia	caudal
11965171	dementia	anterior part
11967746	delirium	core
11968830	pica	medulla
11972798	dementia	dentate gyrus
11972798	dementia	substantia nigra
11978847	schizophrenia	core
11978848	schizophrenia	corpus callosum
11978848	schizophrenia	corpus callosum
11983185	mood disorders	thalamus
11983185	mood disorders	thalamus
11986136	schizophrenia	corpus callosum
11986146	schizophrenia	corpus callosum
11986146	schizophrenia	corpus callosum
11986146	schizophrenia	corpus callosum
11986146	schizophrenia	corpus callosum
11988230	schizophrenia	medial
11988350	schizophrenia	ventral
11988773	narcolepsy	dorsolateral
11989988	schizophrenia	medial
11989988	schizophrenia	medial
11989988	schizophrenia	medial
11992659	dementia	medial
11992660	schizophrenia	core
11994213	dysthymic disorder	intermediate
11999898	schizophrenia	dorsolateral
12000718	dementia	substantia nigra
12004644	narcolepsy	dorsal
12007453	schizophrenia	intermediate
12007457	schizophrenia	thalamus
1200765	narcolepsy	brain stem
12012087	dementia	cerebral cortex
12012092	dementia	brain stem
12013580	enuresis	retina
12013667	pica	medial
12023418	dementia	ca1
12023420	schizophrenia	corpus callosum
12023420	schizophrenia	splenium
12023979	schizophrenia	cerebral cortex
12028220	dementia	core
12034876	intermittent explosive disorder	medial
12039426	dementia	midbrain
12042234	personality disorder	nose
12044193	schizophrenia	medial
12044473	dementia	subiculum
12048148	schizophrenia	dorsolateral
12048154	schizophrenia	core
12051064	depressive disorders	core
12052530	anorexia nervosa	core
12056935	dementia	core
12058090	dementia	core
12058835	attention deficit hyperactivity disorder	core
12060183	schizophrenia	thalamus
12060183	schizophrenia	thalamus
12060187	personality disorder	core
12060187	personality disorder	core
12062881	schizophrenia	core
12062884	schizophrenia	medial
12062906	schizophrenia	ventral
12072169	schizophrenia	corpus callosum
12080607	dementia	core
12081302	schizophrenia	core
12082047	dementia	corpus callosum
12082047	dementia	intermediate
12090307	depressive disorders	nose
12091195	schizophrenia	dorsolateral
12091195	schizophrenia	dorsolateral
12092069	hypochondriasis	core
12092319	sleep-related breathing disorders	nose
12094909	dementia	core
12096159	schizophrenia	core
12102756	schizophrenia	lateral ventricle
12105362	dementia	core
12106833	alcohol dependence	medial
12109935	nicotine withdrawal	mouth
12109951	schizophrenia	nucleus accumbens
12112397	schizophrenia	dorsolateral
12116183	schizophrenia	core
12118154	schizophrenia	cerebellum
12130710	alcohol intoxication	edinger-westphal nucleus
12140101	dementia	corpus callosum
12140108	pica	medulla
12150424	schizophrenia	dorsolateral
12150424	schizophrenia	dorsolateral
12150509	schizophrenia	nose
12150509	schizophrenia	olfactory areas
12151837	dementia	medial
12153824	attention deficit hyperactivity disorder	cerebellum
12165372	schizophrenia	hippocampal formation
12165372	schizophrenia	hippocampal formation
12169267	panic disorder	medial
12169267	panic disorder	hippocampal region
12174174	dementia	core
12180861	pica	retina
12183396	schizophrenia	ventral
12183397	schizophrenia	ventral
12192629	depressive disorders	dentate gyrus
12196645	dementia	core
12198104	dementia	core
12201229	dementia	dorsolateral
12202269	schizophrenia	medial
12204191	schizophrenia	core
12210272	schizophrenia	core
12210274	schizophrenia	dorsolateral
12212470	mood disorders	cerebellum
12215596	dementia	core
12215596	dementia	core
12223260	schizophrenia	cerebellum
12225441	attention deficit hyperactivity disorder	core
12230256	dementia	lateral ventricle
12230325	dementia	medial
12242194	dementia	core
12269734	obsessive-compulsive disorder	corpus callosum
12269734	obsessive-compulsive disorder	corpus callosum
12269734	obsessive-compulsive disorder	corpus callosum
12271797	schizophrenia	core
12363385	schizophrenia	dorsolateral
12363393	schizophrenia	medial
12369268	schizophrenia	core
12373866	schizophrenia	nucleus accumbens
12374492	narcolepsy	intermediate
12377138	dementia	medial
12378420	factitious disorders	nose
12378881	schizophrenia	intermediate
12379447	schizophrenia	dorsolateral
12384258	schizophrenia	dorsomedial
12388614	schizophrenia	nucleus accumbens
12395241	dementia	core
12395390	schizophrenia	medial
12399952	schizophrenia	dentate gyrus
12403129	sleep-related breathing disorders	mouth
12404703	schizophrenia	striatum
12405360	pica	trunk
12409153	schizophrenia	thalamus
12409156	schizophrenia	medial
12410062	dementia	nose
12411236	schizophrenia	thalamus
12411236	schizophrenia	thalamus
12414075	schizophrenia	medial
12414259	dementia	cerebellum
12415125	dementia	cerebral cortex
12417382	dementia	intermediate
12417860	nicotine dependence	core
12418934	schizophrenia	dorsal
12418934	schizophrenia	ventral
12419530	dementia	striatum
12419530	dementia	striatum
12419530	dementia	rostral
12426038	schizophrenia	cerebral cortex
12426413	schizophrenia	thalamus
12426413	schizophrenia	dorsomedial
12426413	schizophrenia	thalamus
12426413	schizophrenia	thalamus
12427683	schizophrenia	medial
12427877	dementia	dorsolateral
12434631	schizophrenia	medial
12436011	schizophrenia	core
12445910	dementia	cerebral cortex
12450629	mood disorders	intermediate
12457387	schizophrenia	core
12470124	schizophrenia	core
12472268	schizophrenia	cerebral cortex
12476323	schizophrenia	dorsolateral
12478219	schizophrenia	nucleus accumbens
12480212	pica	medulla
12481444	schizophrenia	core
12481444	schizophrenia	core
12488057	mood disorders	dorsolateral
12489676	dementia	cerebral cortex
12492261	cannabis dependence	core
12493554	dementia	corpus callosum
12493554	dementia	corpus callosum
12496348	schizophrenia	dorsolateral
12498958	dementia	substantia nigra
12499837	depressive disorders	nucleus accumbens
12500057	depressive disorders	core
12505648	schizophrenia	core
12505804	mood disorders	medial
12505810	schizophrenia	pons
12505810	schizophrenia	striatum
12505814	schizophrenia	cortical subplate
12505814	schizophrenia	cortical subplate
12509166	schizophrenia	crossed
12509590	sleep terrors	mouth
12511173	schizophrenia	intermediate
12511173	schizophrenia	dorsolateral
12518303	dementia	cerebral cortex
12518303	dementia	cerebral cortex
12519448	schizotypal disorder	medial
12523119	dementia	optic nerve
12524629	schizophrenia	core
12526990	schizophrenia	layers 1
12527951	delirium	mouth
12528818	dementia	ca1
12535456	obstructive sleep apnoea	nose
12535783	schizophrenia	dorsal
12535955	narcolepsy	hypothalamus
12537044	schizophrenia	core
12539200	schizophrenia	ventral
12540899	pica	intermediate
12542217	dementia	core
12544177	schizophrenia	intermediate
12555375	dementia	core
12555375	dementia	core
12556572	schizophrenia	striatum
12556572	schizophrenia	striatum
12557414	schizophrenia	nucleus accumbens
12559658	schizophrenia	thalamus
12566282	schizophrenia	rostral
12566282	schizophrenia	rostral
12566282	schizophrenia	rostral
12567210	anorexia nervosa	core
12570358	schizophrenia	core
12576179	cocaine withdrawal	hypothalamus
12589379	schizophrenia	thalamus
12590274	enuresis	core
12591578	schizophrenia	thalamus
12591579	schizophrenia	mediodorsal nucleus of the thalamus
12605097	schizophrenia	intermediate
12606016	schizophrenia	core
12608437	obstructive sleep apnoea	core
12610647	schizophrenia	cerebellum
12610649	schizophrenia	dorsolateral
12610649	schizophrenia	thalamus
12611829	schizophrenia	dorsolateral
12612497	narcolepsy	hypothalamus
12613779	obsessive-compulsive disorder	midbrain
12614343	nicotine withdrawal	ventral
12614661	obsessive-compulsive disorder	core
12614990	schizophrenia	dorsolateral
12614990	schizophrenia	dorsolateral
12614990	schizophrenia	dorsolateral
12614991	schizophrenia	dorsal
12616580	anorexia nervosa	core
12617964	dementia	hippocampal formation
12622665	schizophrenia	dorsolateral
12625993	attention deficit hyperactivity disorder	striatum
12627731	narcolepsy	hypothalamus
12629543	schizophrenia	dorsal
12629543	schizophrenia	layer 3
12629543	schizophrenia	layer 3
12629543	schizophrenia	layer 3
12634288	dementia	core
12634474	schizophrenia	striatum
12641375	dementia	core
12641375	dementia	core
12650227	schizophrenia	core
12651468	pica	intermediate
12653421	schizophrenia	core
12657658	schizophrenia	striatum
12658369	anorexia nervosa	hypothalamus
12658675	binge eating disorder	core
12658675	binge eating disorder	core
12658675	binge eating disorder	core
12664115	schizophrenia	dorsolateral
12664307	schizophrenia	thalamus
12668360	schizophrenia	intermediate
12668360	schizophrenia	dorsolateral
12668360	schizophrenia	dorsolateral
12668413	schizophrenia	cerebellum
12669241	dementia	hippocampal formation
12671314	schizophrenia	striatum
12672537	dementia	cerebral cortex
12673606	dementia	medial
1267573	schizophrenia	nose
12679899	panic disorder	core
12682740	schizophrenia	cerebral cortex
12683262	dementia	core
12684441	delirium	ventral
12684724	pica	cranial nerves
12685995	schizophrenia	core
12690058	dementia	ventral
12690484	schizophrenia	ca3
12693438	schizophrenia	thalamus
12694390	dementia	substantia nigra
12698265	dementia	cerebellum
12700104	narcolepsy	hypothalamus
12707072	dementia	core
12707073	dementia	medial
12709094	nicotine dependence	core
12712671	anorexia nervosa	core
12715102	alcohol dependence	nucleus accumbens
12719633	dementia	mouth
12722889	schizophrenia	core
12723685	schizophrenia	cerebrum
12724459	dementia	core
12727695	schizophrenia	dorsolateral
12727702	anorexia nervosa	intermediate
12728743	schizophrenia	crossed
12729873	schizophrenia	medial
12737534	catatonia	core
12738072	schizophrenia	ventral
12738340	schizophrenia	dorsolateral
12740602	schizophrenia	core
12742246	schizophrenia	dorsal
12742246	schizophrenia	ventral
12742253	schizophrenia	nucleus accumbens
12743237	dementia	core
12745316	alcohol dependence	intermediate
12750206	nicotine dependence	core
12753576	delirium	thalamus
12754154	schizophrenia	cerebral cortex
12754154	schizophrenia	ventral
12754155	mood disorders	midbrain
12754160	schizophrenia	hippocampal formation
12754161	schizophrenia	ventral
12755326	personality disorder	core
12757560	delirium	core
12761635	dementia	core
12761635	dementia	cerebral cortex
12762871	obsessive-compulsive disorder	core
12763084	schizophrenia	nucleus accumbens
12765750	schizophrenia	corpus callosum
12765750	schizophrenia	splenium
12765751	schizophrenia	corpus callosum
12765751	schizophrenia	corpus callosum
12765752	schizophrenia	lateral ventricle
12766921	schizophrenia	core
12769613	nicotine dependence	nucleus accumbens
12769613	nicotine withdrawal	shell
12777268	schizophrenia	thalamus
12777268	schizophrenia	thalamus
12777269	schizophrenia	thalamus
12777269	schizophrenia	thalamus
12777269	schizophrenia	pons
12777269	alcohol dependence	thalamus
12777280	schizophrenia	medial
12782395	cocaine withdrawal	hypothalamus
12782395	cocaine withdrawal	hypothalamus
12782972	alcohol dependence	intermediate
12782972	alcohol dependence	core
12784527	dementia	nose
12788502	schizophrenia	striatum
12791610	anorexia nervosa	trunk
12794661	panic disorder	medial
12799619	schizophrenia	dorsolateral
12799619	schizophrenia	intermediate
12800551	depressive disorders	striatum
12804791	schizophrenia	hypothalamus
12808358	dementia	lower limb
12808429	schizophrenia	core
12810792	schizophrenia	thalamus
12814860	schizophrenia	layer 5
12814860	schizophrenia	layer 6
12817354	nicotine dependence	core
12819409	dementia	core
1281956	dementia	core
12821731	dementia	core
12823167	schizophrenia	intermediate
12823567	depressive disorders	vagus nerve
12825921	conversion disorder	core
12827141	obsessive-compulsive disorder	nucleus accumbens
12832233	personality disorder	nose
12833577	dementia	intermediate
12834109	dementia	molecular layer
12835243	schizophrenia	core
12839513	schizophrenia	core
12839513	schizophrenia	trunk
12839513	schizophrenia	trunk
12844470	dementia	intermediate
12845412	schizophrenia	ventral
12849211	dementia	cerebral cortex
12850251	obsessive-compulsive disorder	striatum
12850252	panic disorder	locus ceruleus
12851636	schizophrenia	dorsolateral
1285490	dementia	ca1
12860361	schizophrenia	core
12860361	schizophrenia	intermediate
12861248	depressive disorders	core
12865892	schizophrenia	ventral
12866204	dementia	brain stem
12870549	pica	dorsal
12873800	schizophrenia	dorsal
12873800	schizophrenia	layer 3
12873800	schizophrenia	layer 3
12873800	schizophrenia	layer 3
12878699	schizophrenia	cerebellum
12880502	obsessive-compulsive disorder	core
12883140	schizophrenia	core
12884000	alcohol dependence	intermediate
12884000	alcohol dependence	intermediate
12886032	schizophrenia	core
12886032	schizophrenia	core
12886032	schizophrenia	core
12890066	dementia	core
12890794	schizophrenia	ventral
12892833	panic disorder	dorsal
12892859	schizophrenia	core
12897644	attention deficit hyperactivity disorder	striatum
12898304	pica	medial
12898568	schizophrenia	core
12910852	depressive disorders	nose
12915287	schizophrenia	internal capsule
12915288	schizophrenia	medial
12915294	schizophrenia	striatum
12917990	schizophrenia	core
12923826	dementia	core
12931208	schizophrenia	corpus callosum
12932812	schizophrenia	cerebellar peduncles
12938024	dementia	cerebral cortex
12939414	dementia	intermediate
12942996	schizophrenia	intermediate
12942996	schizophrenia	dorsolateral
12942996	schizophrenia	dorsolateral
12944331	schizophrenia	core
12944331	schizophrenia	core
12944334	schizophrenia	cerebral cortex
12944335	schizophrenia	cerebellum
12946086	schizophrenia	corpus callosum
12947591	pica	shell
12950706	bulimia nervosa	core
12955216	dementia	splenium
12955785	dementia	core
12963670	schizophrenia	intermediate
12963674	rapid cycling	core
12974991	schizophrenia	core
1305634	schizophrenia	third ventricle
1308318	pica	mouth
1313532	schizophrenia	mouth
1323297	dementia	core
1324808	dementia	hypothalamus
1324808	dementia	hypothalamus
1340921	dementia	cerebellum
1346146	anorexia nervosa	ca2
1349250	dementia	thalamus
1349833	schizophrenia	ca1
1352895	schizophrenia	ca2
1354068	schizophrenia	olfactory tubercle
135514	dementia	cerebral cortex
1355358	schizophrenia	dorsal
1359259	dementia	medial
1359259	dementia	medial
1359593	schizophrenia	core
1362617	dementia	brain stem
13679275	dementia	core
13680442	schizophrenia	intermediate
1370862	narcolepsy	cerebral cortex
1376881	dementia	entorhinal area
1391670	dementia	core
1391674	dementia	core
1395326	dementia	cerebrum
1398335	panic disorder	ca2
1401207	dementia	choroid plexus
1401207	dementia	choroid plexus
1401698	dementia	core
1401698	dementia	core
1407727	dementia	medial
1444722	bulimia nervosa	hypothalamus
14501650	nocturnal enuresis	core
14502658	dementia	cerebral cortex
14504564	schizophrenia	dorsolateral
14505543	dementia	cerebellum
14506087	dementia	core
14511792	schizophrenia	cerebral cortex
14511802	schizophrenia	dorsolateral
14511802	schizophrenia	dorsolateral
14512071	nicotine dependence	core
14512071	nicotine dependence	core
14512708	cocaine withdrawal	hypothalamus
14512711	dementia	core
14514503	dementia	corpus callosum
14515340	schizophrenia	ventral
14515779	dementia	core
14516497	delirium	core
14520672	dementia	outer plexiform layer
14527647	schizophrenia	core
14529152	pica	trunk
14533075	schizophrenia	nucleus accumbens
14533126	dementia	striatum
14533126	dementia	core
14550701	dementia	core
14552147	generalised anxiety disorder	core
14556441	dementia	isocortex
14560319	schizophrenia	dorsolateral
14560321	schizophrenia	striatum
1456738	dementia	substantia nigra
14568771	schizophrenia	molecular layer
14571000	schizophrenia	corpus callosum
14572736	dementia	medial
1457622	dementia	core
14580078	schizophrenia	core
14589726	attention deficit hyperactivity disorder	core
14591471	attention deficit hyperactivity disorder	intermediate
14592148	periodic limb movement disorder	cerebral cortex
14594048	schizophrenia	core
14595653	dementia	core
14598649	pica	medulla
14599434	schizophrenia	nucleus accumbens
14599436	schizophrenia	medial
14604451	schizophrenia	thalamus
14604451	schizophrenia	thalamus
14604451	schizophrenia	medial
14604451	schizophrenia	thalamus
14605830	dementia	hippocampal formation
14608034	dementia	medial
14608589	schizophrenia	cerebellum
14608589	schizophrenia	cerebellum
14609891	schizophrenia	intermediate
14616184	nicotine dependence	core
14618678	schizophrenia	dorsolateral
14618678	schizophrenia	dorsolateral
14622910	schizophrenia	ventral
14622917	schizophrenia	medial
14623373	schizophrenia	striatum
14624191	schizophrenia	core
14624804	attention deficit hyperactivity disorder	dorsal
14624806	attention deficit hyperactivity disorder	striatum
1462762	dementia	cerebral cortex
14629703	schizophrenia	thalamus
14631083	dementia	core
14638589	schizophrenia	hippocampal formation
14638592	schizophrenia	dorsolateral
14638592	schizophrenia	dorsolateral
14638596	schizophrenia	thalamus
14638596	schizophrenia	thalamus
14638887	narcolepsy	intermediate
14642467	schizophrenia	medial
14643084	schizophrenia	cingulum bundle
14643090	schizophrenia	dorsal
14646027	dementia	core
14651443	dementia	core
14654100	schizophrenia	ventral
14655753	dementia	substantia nigra
14656305	schizophrenia	ventral
14656305	schizophrenia	ventral
14658014	pica	cranial nerves
14658014	pica	hypoglossal nerve
14658014	pica	hypoglossal nerve
14658014	pica	cerebellum
14662551	schizophrenia	medial
14663004	schizophrenia	dorsal
14663653	schizophrenia	striatum
14664772	narcolepsy	midbrain
14672249	alcohol dependence	core
14675804	obsessive-compulsive disorder	medial
14677072	schizophrenia	core
14677072	schizophrenia	intermediate
14677073	schizophrenia	core
14682083	dementia	core
14683715	personality disorder	core
14684436	schizophrenia	thalamus
14684436	schizophrenia	thalamus
14684436	schizophrenia	thalamus
14684437	schizophrenia	core
14684438	schizophrenia	layer 3
14687382	delirium	core
14690770	schizophrenia	intermediate
14690865	dementia	core
14690866	dementia	intermediate
14692704	dementia	core
14693349	schizophrenia	core
14697017	dementia	mouth
14697497	schizophrenia	striatum
14698474	dementia	caudoputamen
14698760	schizophrenia	core
14698764	rapid cycling	caudal
14699432	dementia	core
14702252	specific phobia	striatum
14702264	schizophrenia	medial
14702923	bulimia nervosa	nose
1470423	schizophrenia	cerebellum
14708030	schizophrenia	ca2
14708030	schizophrenia	molecular layer
14712003	hypochondriasis	core
14719048	schizophrenia	medial
14719548	dementia	hippocampal region
14719548	dementia	hippocampal region
14727370	schizophrenia	thalamus
14728087	schizophrenia	core
14729229	mood disorders	suprachiasmatic nucleus
14740204	pica	cerebellar nuclei
14741639	schizophrenia	corpus callosum
14744462	schizophrenia	dorsolateral
14744462	schizophrenia	hippocampal formation
14745702	dementia	core
14750073	schizophrenia	core
1475039	dementia	core
14751422	schizophrenia	dorsolateral
14751433	schizophrenia	core
14751467	schizophrenia	medial
14751771	narcolepsy	hypothalamus
14754780	schizophrenia	dorsal
14754780	schizophrenia	dorsal
14754780	schizophrenia	dorsal
14757589	schizophrenia	ventral
14757983	obsessive-compulsive disorder	dorsolateral
1477528	dementia	medial
1477906	schizophrenia	third ventricle
1480754	dementia	tuberal nucleus
1481142	alcohol intoxication	striatum
1484907	obsessive-compulsive disorder	striatum
1485494	pica	pallidum
1487851	anorexia nervosa	brain stem
1489634	dementia	cerebral cortex
1491352	mood disorders	intermediate
14960334	schizophrenia	dentate gyrus
14966480	schizophrenia	core
14968483	schizophrenia	core
14969737	schizophrenia	substantia nigra
14972078	schizophrenia	dorsolateral
14976325	dementia	core
14978549	bulimia nervosa	core
14984416	depressive disorders	hippocampal formation
14984870	schizophrenia	intermediate
14984878	schizophrenia	core
14984888	schizophrenia	corpus callosum
14984888	schizophrenia	splenium
1498579	dementia	thalamus
14989404	schizophrenia	core
14989404	schizophrenia	core
14991351	delirium	core
14991351	delirium	core
14991351	delirium	cerebellum
14991384	dementia	cerebrum
14991453	dementia	core
14992974	schizophrenia	medial
14992975	schizophrenia	intermediate
14997502	schizophrenia	thalamus
15000958	personality disorder	core
15001014	bulimia nervosa	core
