pmid	struct	verb	disorder
26493280	core	state
7781188	thalamus	driving
27994542	nucleus accumbens	been
10607123	core	indicate
11063977	medial	following
23991097	intermediate	identify
26860616	dorsal	tends
32203252	corpus callosum	had
31710401	ventral	course
31710401	subthalamic nucleus	ring
24290381	cerebellum	suggest
32671341	core	report
27004598	dorsolateral	found
15290698	core	found
25174840	cingulum bundle	matched
25174840	cingulum bundle	showed
15380297	dorsolateral	compared
15380297	medial	impaired
30805951	core	identify
25282171	ventral	develop
25282171	ventral	induce
27432008	ventral	ring
29385594	core	controls
26846614	corpus callosum	order
26846614	corpus callosum	reduced
26667277	core	controlling
18508630	ventral	studies
26124116	medial	compared
26124116	medial	impaired
22322113	ventral	considered
1821487	midbrain	presented
31299274	ventral	treated
16801642	core	scale
24342994	core	been
26827657	medial	spreading
22939818	thalamus	grade
31873787	core	directed
25241043	dorsal	used
25241043	ventral	decreased
25241043	dorsal	suggest
30850473	core	related
16797186	medial	studies
26969581	core	present
20347881	core	working
33209972	nose	used
9209727	dorsal	rent
18480414	interpeduncular nucleus	review
17360163	dorsal	extend
17360163	dorsolateral	controls
25932637	dorsal	present
31701893	core	change
21184782	ventral	including
31602784	core	order
11111409	core	develop
32790267	nose	delay
28991666	core	showed
11083166	medial	had
11083166	medial	contrast
24315617	core	considered
31364526	dorsolateral	measured
18262394	medial	propose
24318124	hypothalamus	stress
32073681	core	had
27639684	medial	showed
22682988	core	act
32561678	core	compared
27315593	core	set
28625940	nose	cause
20143199	ventral	proposed
20143199	ventral	point
8552110	dorsolateral	own
29523295	ca2	connecting
24755307	ventral	chose
27012442	medial	increased
28379303	medial	show
24622054	core	order
18227417	dorsal	occurs
21252111	core	found
11739842	core	controls
26803362	intermediate	lies
26803362	mouth	lies
24273708	core	order
17894380	intermediate	counts
16085785	core	measured
26686679	corpus callosum	including
22718430	core	mean
29029762	core	included
27481817	core	ground
11402143	hippocampal formation	ring
27602201	core	ground
22895156	ventral	implicated
26548362	midbrain	search
26547881	core	approach
15007124	medial	made
19995568	cerebral cortex	type
23768914	medial	ring
19683896	dorsolateral	controls
27064909	core	suggest
24296414	nose	change
22712650	medial	type
26594141	cerebellum	review
19252799	substantia nigra	been
29949732	intermediate	using
19275917	nose	reported
22366790	medial	propose
28195571	stria terminalis	showed
18375081	hypothalamus	containing
30761606	core	had
31690846	core	contribute
10699665	ventral	produces
16254067	dorsolateral	received
32652810	ca3	repeat
25728236	thalamus	changes
18278382	medial	studies
31982447	core	order
32064741	core	eating
16637589	thalamus	observed
16977475	core	suggest
12591026	striatum	orders
30116174	core	order
31597710	medial	included
15990338	dorsolateral	showed
15990338	medial	come
29680871	third ventricle	growing
30223398	core	used
28583411	core	order
27145766	ventral	led
21835979	midbrain	orders
10828529	dorsolateral	been
11923448	ventral	damage
30820860	dorsolateral	compared
24554310	ventral	lie
22341900	medial	implicate
28070120	intermediate	lying
23531082	core	lies
22960335	core	orders
20727962	ventral	review
23001314	dorsal	related
22474103	intermediate	test
22474103	hindbrain	met
18331156	cerebellum	support
17874461	dorsal	changes
27166333	core	order
30112785	nose	shows
19878140	core	phone
24866553	core	describes
31713306	core	controls
31713306	core	compared
26527249	cerebellum	been
26453290	superior colliculus	order
23354531	core	present
18385331	medial	observed
22037127	vagus nerve	ground
7487561	core	measures
17907815	core	improved
10858628	hippocampal region	related
10858628	dorsal	suggest
8988799	thalamus	orders
16490411	thalamus	identified
16490411	vagus nerve	try
29136354	corpus callosum	report
18487520	cerebellum	order
27017341	medial	showed
21041596	core	sleep
28662127	core	produce
28662127	core	search
28662127	core	comes
31047973	core	order
27354958	striatum	displayed
25598502	intermediate	using
29407465	hippocampal formation	measured
30099076	cerebellum	including
21350486	ventral	control
28338738	core	come
28338738	intermediate	showed
28322246	core	using
2035108	thalamus	reflects
31703585	substantia nigra	sleep
29462110	core	growing
27138429	dorsolateral	report
28539393	ventral	suggest
12235302	ventral	changing
33247023	core	identify
31267957	core	determine
16611092	dorsal	studies
26510167	frontal pole	show
19019199	core	impaired
27302677	medial	use
14598572	core	been
28245977	dorsal	considering
25080472	core	scale
30008825	corticospinal tract	use
20183548	cerebral cortex	suggests
10199613	striatum	stems
29095852	medial	been
29095852	thalamus	provide
23756741	nucleus accumbens	reports
3178178	dorsal	related
16802281	intermediate	had
30611286	core	mean
7989290	nose	studies
15457142	core	mean
31126998	core	behaving
30421579	core	lies
18603414	medial	sight
14674880	dorsolateral	present
16510227	core	order
8063505	core	set
32793004	core	studies
30790738	ventral	approved
30790738	caudal	passing
18500636	ventral	seeking
25725380	medial	changes
29445770	subthalamic nucleus	control
26082469	striatum	order
18316676	core	samples
24632470	medial	suggest
24899715	core	contributing
23250962	core	controls
27683902	stria terminalis	led
23384525	thalamus	showed
10473933	thalamus	play
10473933	core	sleep
28578921	core	ground
10435605	core	scale
23567425	core	formed
29939407	hypothalamus	observed
28735695	core	order
10978690	corpus callosum	using
18577283	core	including
18761140	core	repeat
27036121	cerebral cortex	present
26214708	core	understanding
21978081	core	showed
21882450	core	include
32113967	dorsal	support
31859230	core	competing
6136014	striatum	used
25273996	medial	contribute
18445270	thalamus	connects
27638450	core	recognized
14978586	midbrain	reviews
28533418	medial	types
23069351	cerebellar cortex	deleted
21920503	core	ground
23919443	ventral	been
26879047	thalamus	found
26879047	thalamus	related
11439759	cerebellum	finding
20170045	core	present
30003029	core	hearing
8946433	ventral	been
8946433	ventral	rent
28710677	cerebellum	growing
28710677	cerebellum	optimized
28710677	cerebellum	suggest
15033228	core	using
10884061	medial	connected
27031465	medial	begins
24040806	hypothalamus	rent
23062754	core	type
31309907	core	state
11166522	ventral	use
31915061	core	suggesting
25684539	core	changes
30683708	field ca1	observed
22333920	cerebellum	ring
16697048	core	orders
27432231	core	known
25578289	core	type
28695822	corpus callosum	studies
6274989	hypothalamus	been
21204326	hippocampal formation	resting
26335733	core	order
20031197	core	order
23543128	core	found
18227083	medial	review
11089508	nose	present
32719466	intermediate	measures
32719466	intermediate	show
10653314	fiber tracts	rise
21963442	medial	orders
29018317	core	test
21829904	cerebellum	support
15834018	core	ground
11326296	ventral	presents
27836006	facial nerve	followed
31055129	nose	orders
15169688	dorsolateral	suggests
30721717	intermediate	become
24107861	intermediate	determine
24290886	ventral	related
23140671	core	stress
32123050	core	determine
32123050	core	determined
32123050	core	led
32123050	core	scans
21440632	core	eat
18704495	hypothalamus	cause
24074621	cerebral cortex	lead
28323290	core	ache
28323290	core	use
1131070	cerebellum	studied
29753752	cingulum bundle	implicates
17052898	dorsolateral	reports
27573876	dorsomedial	found
31223386	striatum	report
32928362	nose	used
32928362	corpus callosum	decrease
32928362	corpus callosum	span
22674669	mouth	order
20860567	intermediate	divided
20860567	intermediate	order
20158934	ventral	stress
28651857	core	working
28651857	core	sample
29559372	striatum	increased
28281921	thalamus	being
12058087	core	matched
29751542	hypothalamus	suggest
20800990	core	order
28033259	core	scale
27423630	core	order
33244959	cerebral cortex	shown
28798667	corpus callosum	covered
22986004	cerebral cortex	stress
29681406	hypothalamus	sought
25591475	core	stem
2879319	cerebral cortex	changes
22377782	core	mean
23904672	hypothalamus	caused
26921048	core	indicated
24291545	core	thought
24568730	pedunculopontine nucleus	present
28755877	retina	using
28755877	retina	present
24531157	corpus callosum	used
28516224	cerebral cortex	orders
28516224	cerebral cortex	review
15036385	ventral	been
28258683	cerebellum	progressing
31156472	core	showed
21147519	medial	reported
25849592	core	orders
19028423	medial	matter
19028423	medial	avoid
33348363	core	suggested
29656245	core	measured
29547067	core	viewing
27506666	brain stem	stem
19671904	core	adjusted
21689907	medial	studies
21689907	medial	implicate
25919332	core	suggests
12037191	hypothalamus	containing
7855174	core	divided
15627854	core	ground
28823626	core	present
28823626	core	obtained
21641775	fiber tracts	compared
23938342	subthalamic nucleus	control
30385192	core	order
2669836	ventral	stem
27628528	medial	studies
23442226	ventral	been
20616040	perforant path	goes
32632709	cerebellum	brings
17188464	dorsolateral	found
23942847	cerebellum	been
28978667	ca1	appears
30281090	core	explore
29213090	dorsolateral	thought
15569907	ventral	develop
21357880	core	spread
26492987	core	ground
25518957	medial	presenting
24447405	core	used
30635491	medial	showed
30635491	medial	controlling
29221791	dorsolateral	conducted
10506305	nucleus accumbens	improves
29527474	core	provide
15090653	medial	damage
15090653	medial	drawing
20483461	core	control
33300151	core	determine
16581031	thalamus	tested
25012223	molecular layer	try
18423591	core	reviewed
260709	nose	stated
24480473	dorsal	stress
31808989	intermediate	state
20161060	core	order
24275514	nose	order
11588613	dentate gyrus	showed
31798526	core	copy
11909909	core	type
11909909	medial	increased
11909909	medial	detect
19003868	layer 2	been
19003868	layer 2	used
19003868	layer 2	work
21418522	core	been
30776649	core	rains
22160550	nose	studies
28857270	core	differed
28216393	core	had
19874870	medial	work
30170282	core	determined
8270929	dorsolateral	been
30430717	lateral ventricle	contribute
10892306	nose	matter
26903271	ca1	cross
26903271	ca1	provide
28301102	fiber tracts	used
23137805	medial	found
20129934	hypothalamus	sleep
23324649	core	thought
27514985	core	recognized
32291962	core	changes
18703290	medial	ring
15853614	core	question
31205124	thalamus	forms
21266125	core	ground
23285275	core	measured
15851728	medial	ground
31988435	core	been
25923998	cerebellum	ground
